Distribution of Yeh’s n-order molecular graphs by vertex overlap count Novr
---------------------------------------------------------
|    The number of molecular graphs of order n          |
---------------------------------------------------------
|  Novr| n=14 | n=16 | n=18 | n=20 | n=22 | n=24 | n=26 |
---------------------------------------------------------
|     0|   422|  1456|  4938| 16546| 55061|182280|601323|
|     1|     3|    17|    76|   304|  1155|  4238| 15155|
|     2|     2|    17|    95|   487|  2184|  9267| 37554|
|     3|     0|     3|    35|   192|   965|  4323| 18220|
|     4|     0|     2|    11|    79|   461|  2353| 10892|
|     5|     0|     0|     3|    29|   185|  1046|  5447|
|     6|     0|     0|     2|    11|    64|   404|  2130|
|     7|     0|     0|     0|     3|    29|   147|   910|
|     8|     0|     0|     0|     2|    11|    71|   414|
|     9|     0|     0|     0|     0|     3|    33|   179|
|    10|     0|     0|     0|     0|     2|    11|    72|
|    11|     0|     0|     0|     0|     0|     3|    35|
|    12|     0|     0|     0|     0|     0|     2|    13|
|    13|     0|     0|     0|     0|     0|     0|     0|
|    14|     0|     0|     0|     0|     0|     0|     3|
|    15|     0|     0|     0|     0|     0|     0|     0|
|    16|     0|     0|     0|     0|     0|     0|     2|
---------------------------------------------------------
